metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
49180,"Winston-Salem, NC Metro Area",17457,324608,47921,12021,667733,4209,5.377871155362776,49180,0.01800270467387414,0.35013725979535815,0.11187214611872145,0.3800403225806452,97.9,0.07598290558741468,-0.14390968409354876,0.3744659560558656,0.4850228415979188,0.874308822996879,0.2702809158597591
38860,"Portland-South Portland, ME Metro Area",11752,304776,62296,11907,532083,4184,3.855946662466861,38860,0.022378087629185674,0.351389938691526,0.03851261620185923,0.2067132867132867,98.3,0.07626676608727494,-0.26426764648814877,1.0114282770234169,0.4981319785063829,0.40552607122986806,0.26917712677230565
17140,"Cincinnati, OH-KY-IN Metro Area",48093,1139469,60209,30253,2180746,9745,4.220650144935931,17140,0.01387277564649895,0.3221168148613361,-0.009664292980671414,0.15474880821415474,94.6,0.07622555447939958,0.8490435056619259,-0.22676351473016249,0.19179219007191872,0.09766553717504348,0.2633177860906258
36420,"Oklahoma City, OK Metro Area",30024,702128,54442,27777,1383737,8752,4.276143381263815,36420,0.02007390132662493,0.31508082226302336,0.053673788431474724,0.08309169989126496,97.6,0.07611167458355998,-0.053641212297593416,0.6759879578076947,0.11816135734983438,0.5024091353098503,0.24662552558592643
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",158400,3097014,60143,143950,5882450,47052,5.114603937857562,12060,0.024471096226912258,0.32686349426884337,-0.010934871425138187,-0.0060588630045058,98.3,0.07622425118945239,-0.26426764648814877,1.3161256321645376,0.24146563025196438,0.08954627495774192,0.24124550074109818
39580,"Raleigh, NC Metro Area",26900,721105,65185,24534,1335079,7370,3.7303860048120594,39580,0.018376440645085423,0.3003994456672373,0.11995318899941486,-0.037533023594789106,97.9,0.07632381464269034,-0.14390968409354876,0.42887393224519826,-0.03547751721542289,0.925948378526363,0.23950856813324342
10740,"Albuquerque, NM Metro Area",22800,435802,55563,14282,913113,5268,5.231733677220389,10740,0.015640999525798012,0.368855902534659,-0.05482233502538071,0.05053946621237933,95.4,0.07613381076584473,0.6083275808727173,0.030652121261495247,0.6809112302031651,-0.19090380396059645,0.23376582289548042
27260,"Jacksonville, FL Metro Area",43681,765277,49494,32898,1504980,10329,5.707867870065349,27260,0.021859426703344894,0.3139704541309502,-0.002256317689530686,-0.4691245499703778,97.8,0.07601396733115591,-0.11382019349489556,0.9359223223463139,0.10654148580360537,0.14500404992094837,0.2078961584515755
29460,"Lakeland-Winter Haven, FL Metro Area",15704,297698,47101,13244,686483,4223,5.275144609637955,29460,0.019292538926674076,0.31886137118695257,0.05105105105105105,0.05089647194910353,97.9,0.07596671319716178,-0.14390968409354876,0.562238278551554,0.15772435596388082,0.4856492944582175,0.1973703876097101
31140,"Louisville/Jefferson County, KY-IN Metro Area",33757,673198,59526,20807,1293722,7914,5.01442369109831,31140,0.016083053391686933,0.3803527658960927,0.045018450184501846,0.4002827036751478,97.5,0.07621206740312796,-0.02355172169894448,0.09500572397128075,0.8012245493498319,0.4470997121784794,0.1967204391358775
