metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices
33740,"Monroe, LA Metro Area",3329,79802,142169,1403,178445,305,4.171574647251949,33740,0.007862366555521309,0.21739130434782608,-0.23943661971830985,-0.4403726708074534,97.4
33780,"Monroe, MI Metro Area",3568,76061,51213,2160,149649,604,4.690971720066788,33780,0.014433775033578573,0.2796296296296296,-0.2972972972972973,-0.34984984984984985,98.2
33860,"Montgomery, AL Metro Area",9481,171999,61118,4079,373889,1220,5.512241350240409,33860,0.010909655004560178,0.29909291493012996,-0.052478134110787174,0.1312984496124031,97.8
33980,"Morehead City, NC Micro Area",1329,33487,24145,1572,68881,746,3.968704273300087,33980,0.02282196832217883,0.47455470737913485,NA,NA,NA
34060,"Morgantown, WV Metro Area",5280,70410,52039,1902,138709,398,7.49893481039625,34060,0.013712159989618554,0.2092534174553102,-0.029850746268656716,0.5368289637952559,91.3
34100,"Morristown, TN Metro Area",2821,54347,85718,921,118081,530,5.190718898927264,34100,0.007799730693337624,0.5754614549402823,-0.1792452830188679,-0.32698961937716264,91.3
34180,"Moses Lake, WA Micro Area",1566,43520,77725,2142,95158,706,3.598345588235294,34180,0.022509930851846403,0.3295985060690943,NA,NA,NA
34340,"Mount Airy, NC Micro Area",1321,33720,26799,1166,72224,166,3.9175563463819696,34340,0.016144217988480283,0.1423670668953688,NA,NA,NA
34380,"Mount Pleasant, MI Micro Area",2771,35324,51068,892,71063,391,7.844524968859699,34380,0.01255224237648284,0.4383408071748879,NA,NA,NA
34580,"Mount Vernon-Anacortes, WA Metro Area",2895,61107,61176,2190,125619,962,4.7375914379694635,34580,0.017433668473718147,0.4392694063926941,-0.0847457627118644,0.11276948590381426,99.4
34620,"Muncie, IN Metro Area",3308,57805,42152,1920,115184,470,5.722688348758758,34620,0.0166689818030282,0.24479166666666666,0.07792207792207792,-0.17408906882591094,97.2
34740,"Muskegon, MI Metro Area",5647,82386,55903,1806,173693,380,6.854319908722356,34740,0.010397655633790654,0.21040974529346623,-0.09917355371900827,-0.33985581874356335,97.2
34780,"Muskogee, OK Micro Area",1681,26831,35184,1151,69086,202,6.265141068167418,34780,0.01666039429117332,0.17549956559513466,NA,NA,NA
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",13571,210022,47422,8032,464165,2721,6.461704011960652,34820,0.017304191397455645,0.3387699203187251,-0.04149377593360996,0.0773462783171521,96.3
34860,"Nacogdoches, TX Micro Area",2841,30219,46883,664,65580,123,9.401369999007247,34860,0.01012503812137847,0.1852409638554217,NA,NA,NA
34900,"Napa, CA Metro Area",3313,75786,60591,3524,140973,1508,4.371519805768875,34900,0.02499769459400027,0.4279228149829739,0.03153153153153153,0.26375404530744334,110.7
34940,"Naples-Immokalee-Marco Island, FL Metro Area",6138,165059,62099,12691,372880,4344,3.718670293652573,34940,0.03403507830937567,0.3422898116775668,0.2560240963855422,0.06433273488928785,97.9
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36290,1042451,61858,29633,1904226,9716,3.4812187815062767,34980,0.015561703285219296,0.3278777039111801,0.07831900668576887,0.22829818538499264,97.5
35100,"New Bern, NC Metro Area",3587,59546,80318,1822,125786,759,6.023914284754643,35100,0.01448491883039448,0.41657519209659716,NA,NA,91.3
35260,"New Castle, PA Micro Area",3148,43694,78029,1342,87069,129,7.204650524099419,35260,0.015413063202747247,0.09612518628912071,NA,NA,NA
35300,"New Haven-Milford, CT Metro Area",31793,459625,75688,13070,860435,3463,6.917160728855045,35300,0.015189991109148279,0.2649579188982402,0.04689331770222743,0.0025834658187599362,107.6
35380,"New Orleans-Metairie, LA Metro Area",35524,625484,62385,24607,1275762,7690,5.679441840238919,35380,0.019288080378628617,0.3125126996383143,0.012987012987012988,0.1775530839231547,97.6
35420,"New Philadelphia-Dover, OH Micro Area",2060,46049,60809,1067,92297,313,4.473495624226367,35420,0.011560505758583703,0.2933458294283037,NA,NA,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",572055,10626130,70252,425836,20320876,126039,5.383474510475591,35620,0.020955592662442308,0.29598014259010513,0.03814868350196979,0.08631762091836452,109.9
35660,"Niles-Benton Harbor, MI Metro Area",4542,77813,51283,2610,154259,614,5.8370709264518785,35660,0.016919596263427095,0.23524904214559386,-0.08633093525179857,-0.25606796116504854,97.2
35840,"North Port-Sarasota-Bradenton, FL Metro Area",16648,347979,60884,22386,804690,7872,4.784196747504878,35840,0.027819408716400103,0.3516483516483517,0.08985282726568551,-0.10906574394463668,97.9
35900,"North Wilkesboro, NC Micro Area",998,28605,36175,484,68576,106,3.4889005418633108,35900,0.007057862809146057,0.2190082644628099,NA,NA,NA
35980,"Norwich-New London, CT Metro Area",6467,144361,105841,4273,269033,956,4.479741758508184,35980,0.015882809915512223,0.2237304001872221,-0.06884057971014493,-0.2190721649484536,98
36020,"Oak Harbor, WA Micro Area",1468,39095,69733,1181,83159,504,3.7549558767105764,36020,0.014201709977272454,0.42675698560541914,NA,NA,NA
36100,"Ocala, FL Metro Area",11172,134436,35244,9007,354353,2512,8.310274033740962,36100,0.025418156471089564,0.27889419340512933,-0.013303769401330377,-0.05664794007490637,97.9
36140,"Ocean City, NJ Metro Area",3122,45049,92309,2246,93553,877,6.9302315256720455,36140,0.024007781685247934,0.3904719501335708,0.027972027972027972,-0.18931297709923664,101.2
36220,"Odessa, TX Metro Area",5728,80365,61119,1050,157087,337,7.127480868537299,36220,0.006684194108996925,0.32095238095238093,0.39751552795031053,0.91894852135816,97.9
36260,"Ogden-Clearfield, UT Metro Area",9879,329019,62253,13409,666547,4958,3.002562162063589,36260,0.020117111021428345,0.36975165933328363,-0.01593625498007968,-0.22549869904596703,95.7
36300,"Ogdensburg-Massena, NY Micro Area",3165,48272,31810,849,109623,251,6.556595956247928,36300,0.007744725103308613,0.2956419316843345,NA,NA,NA
36420,"Oklahoma City, OK Metro Area",30024,702128,54442,27777,1383737,8752,4.276143381263815,36420,0.02007390132662493,0.31508082226302336,0.053673788431474724,0.08309169989126496,97.6
36460,"Olean, NY Micro Area",1920,35037,55294,709,77348,183,5.479921226132374,36460,0.009166364999741428,0.25811001410437234,NA,NA,NA
36500,"Olympia-Tumwater, WA Metro Area",10879,144504,42196,3807,280588,1225,7.528511321485911,36500,0.013567935906025917,0.32177567638560545,0.07467532467532467,0.046564885496183206,106.3
