"RPP2 Regional Price Parities by MSA and state portion"
"RPPs: Goods (index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",97.2
"22140","Farmington, NM (Metropolitan Statistical Area)",99.4
"22180","Fayetteville, NC (Metropolitan Statistical Area)",97.3
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",97.6
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",99.4
"22420","Flint, MI (Metropolitan Statistical Area)",98.2
"22500","Florence, SC (Metropolitan Statistical Area)",96.4
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",97.9
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",92.9
"22660","Fort Collins, CO (Metropolitan Statistical Area)",95.4
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",97.1
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",97.2
"23420","Fresno, CA (Metropolitan Statistical Area)",95.4
"23460","Gadsden, AL (Metropolitan Statistical Area)",97.9
"23540","Gainesville, FL (Metropolitan Statistical Area)",97.6
"23580","Gainesville, GA (Metropolitan Statistical Area)",91.3
"23900","Gettysburg, PA (Metropolitan Statistical Area)",98.0
"24020","Glens Falls, NY (Metropolitan Statistical Area)",98.0
"24140","Goldsboro, NC (Metropolitan Statistical Area)",97.9
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",97.2
"24260","Grand Island, NE (Metropolitan Statistical Area)",93.0
"24300","Grand Junction, CO (Metropolitan Statistical Area)",99.4
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",96.7
"24420","Grants Pass, OR (Metropolitan Statistical Area)",99.4
"24500","Great Falls, MT (Metropolitan Statistical Area)",95.4
"24540","Greeley, CO (Metropolitan Statistical Area)",100.9
"24580","Green Bay, WI (Metropolitan Statistical Area)",96.7
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",97.4
"24780","Greenville, NC (Metropolitan Statistical Area)",97.9
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",97.6
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",97.9
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",105.4
"25220","Hammond, LA (Metropolitan Statistical Area)",91.3
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",99.4
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",98.0
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",91.3
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",98.2
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",91.3
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",97.9
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",91.3
